Lake,YSI2,Year,YSI,QMB,ZM_Biom,TD_Biom,Visibility,Chlorophyll,PhytoplanktonBiom,MactophytesPct,ZoobenthosBiom,ZooplanktonBiom,TP
Lukomskoe,0,1970,0,,,,2.133333333,,6.820967742,5,0.58,1.75,
Lukomskoe,0,1971,1,,,,,,,,,,
Lukomskoe,0,1972,2,,39.56,39.56,2.5,,5.35,,0.48,1.72,
Lukomskoe,0,1973,3,,,,,,,6,,,
Lukomskoe,0,1974,4,,318.96,318.96,2.6,,1.44,,3.17,0.67,
Lukomskoe,0,1975,5,,487.44,487.44,3,,1.62,6.9,3.87,0.43,
Lukomskoe,0,1976,6,,399.45,399.45,3.2,,1.06,15.2,6.62,0.36,
Lukomskoe,0,1977,7,,288,288,3,,3.43,,7.99,0.31,
Lukomskoe,0,1978,8,,124,124,3.5,,4.7,30.7,7.24,0.75,
Lukomskoe,0,1979,9,,,,3.5,,4.37,,,0.56,
Lukomskoe,0,1980,10,,,,4.5,,,,,0.49,
Lukomskoe,0,1981,11,,,,4,,,,7.98,0.54,
Lukomskoe,0,1982,12,,,,,,,,9.1,0.79,
Lukomskoe,0,1983,13,,,,3.2,,0.88,,6.06,1.23,
Lukomskoe,0,1984,14,,,,3.5,,3.24,,,0.81,
Lukomskoe,0,1985,15,,,,2.8,,,,4.88,,
Lukomskoe,0,1986,16,,,,,,,,,,
Lukomskoe,0,1987,17,,,,3.2,,3.7,,4.2,,
Lukomskoe,0,1988,18,,,,,,,,,,
Lukomskoe,0,1989,19,,178,178,3.1,,4.53,17.4,14.29,1.46,
Lukomskoe,0,1990,20,,,,2.7,,7.4,,12.97,0.94,
Lukomskoe,0,1991,21,,,,3.5,,2.04,,9.03,1.4,
Lukomskoe,0,1992,22,,,,3.3,,4.27,18.9,9.03,0.56,
Lukomskoe,0,1993,23,,,,,,,,,,
Lukomskoe,0,1994,24,,,,3,,4.3,,,0.61,
Lukomskoe,0,1995,25,,,,,,,,,,
Lukomskoe,0,1996,26,,,,,,,,,,
Lukomskoe,0,1997,27,,,,,,,,,,
Lukomskoe,0,1998,28,,,,,,,,,,
Lukomskoe,0,1999,29,,,,,,,,,,
Lukomskoe,0,2000,30,,,,,,,,,,
Lukomskoe,0,2001,31,,,,,,,,,,
Lukomskoe,0,2002,32,,,,,,,,,,
Lukomskoe,0,2003,33,,,,1.7,,,,9.8,1.25,
Lukomskoe,0,2004,34,,,,1.7,,11.8,,6.5,0.65,
Lukomskoe,0,2005,35,,45.99,45.99,1.8,,10.2,,5.9,1.4,
Lukomskoe,0,2006,36,,,,,,,14.3,,,
Lukomskoe,0,2007,37,,,,,,,,,,
Lukomskoe,0,2008,38,,,,1.8,,,,,,
Lukomskoe,0,2009,39,,,,,,,,,,
Lukomskoe,0,2010,40,,,,,,,,,,
Lukomskoe,0,2011,41,,,,,,,,,,
Lukomskoe,0,2012,42,,,,,,,,,,
Lukomskoe,0,2013,43,,,,,,,,,,
Lukomskoe,0,2014,44,,,,,,,,,,
Lukomskoe,0,2015,45,,,,,,,,,,
Naroch,0,Average for 1978-1988,0,,,,4.927,4.784,1.725,24.3718593,4.5975,0.877914286,0.28
Naroch,0,1990,1,,1.5,1.5,4.865,3.098,1.342,,4.33,,0.014
Naroch,0,1991,2,,,,5.333,2.279,3.013,,,0.78104,0.017
Naroch,0,1992,3,,,,5.909,2.067,1.252,,,0.45204,0.015
Naroch,0,1993,4,,99,99,6.983,1.175,0.704,,,0.1101,0.016
Naroch,0,1994,5,,115,115,6.329,1.588,0.852,,,0.22755,0.015
Naroch,0,1995,6,,107,107,6.508,1.227,0.882,,,0.285917,0.014
Naroch,0,1996,7,,,,6.917,1.33,0.791,,,0.128031,0.013
Naroch,0,1997,8,,99,99,8.171,0.988,0.21,,3.54,0.522596,0.017
Naroch,0,1998,9,,,,6.25,1.539,0.6,,4.553,0.491,0.015
Naroch,0,1999,10,,,,7,1.296,0.709,27.51256281,6.196,0.523775,0.018
Naroch,0,2000,11,,,,7.208,1.039,0.526,,6.218,0.628,0.015
Naroch,0,2001,12,,,,7.45,0.935,0.53,,5.053,0.462,0.013
Naroch,0,2002,13,,,,6.058,2.081,1.048,,2.685,0.549,0.015
Naroch,0,2003,14,,,,5.533,1.75,0.682,,4.972,0.616683,0.014
Naroch,0,2004,15,,,,6.12,1.688,1.189,,4.092,,0.012
Naroch,0,2005,16,,158,158,6.746,2.303,1.793,45.36604304,4.82,,0.015
Naroch,0,2006,17,,,,6.953,1.4,0.918,,4.384,0.689,0.013
Naroch,0,2007,18,,,,6.76,1.53,1.637,,5.625,0.458333,0.015
Naroch,0,2008,19,,,,7.029,1.133,0.869,,8.682,0.416667,0.017
Naroch,0,2009,20,,,,7.37,0.967,0.894,,6.693,0.585,0.013
Naroch,0,2010,21,,,,6.871,1.446,1.562,,8.129,0.969167,0.016
Naroch,0,2011,22,,,,6.55,1.503,1.285,,6.056,0.9575,0.012
Naroch,0,2012,23,,,,7.202,1.164,1.455,,5.433,0.461683,0.011
Naroch,0,2013,24,,,,7.108,1.358,1.06,,8.891,0.685833,0.012
Naroch,0,2014,25,,,,7.258,1.093,1.426,,15.094,0.856,0.013
Naroch,0,2015,26,,,,6.582,1.431,1.732,,5.858,0.882,0.013
Naroch,0,2016,27,,108.1558238,108.1558238,6.05,1.045,0.854,45.76633166,8.455,0.446,0.013
Naroch,0,2017,28,,,,6.242,1.539,1.417,,,0.565,0.009
Naroch,0,2018,29,,,,5.942,1.268,1.35,,4.317,0.875,0.011
Naroch,0,2019,30,,,,6.269,1.214,1.385,,,,0.011
Myastro,0,Average for 1978-1983,0,,,,1.85,18.5,7.038665,,2.1615,2.5,0.048
Myastro,0,1988,1,,,,1.683333,14.19167,4.32767,,4.5,,0.037
Myastro,0,1989,2,,,,2.466667,8.99167,3.391,,,,0.037
Myastro,0,1990,3,,,,3.7,5.93167,2.39333,,,,0.024
Myastro,0,1991,4,,,,3.983333,4.74333,2.3425,,,1.29,0.031
Myastro,0,1992,5,,,,4.066667,7.175,3.231,,,1.355,0.035
Myastro,0,1993,6,,402,402,4.166667,2.89667,2.6015,,,,0.036
Myastro,0,1994,7,,,,4.6,2.08833,0.72517,,,0.3225,0.039
Myastro,0,1995,8,,288,288,4.716667,4.96667,1.89625,,,0.8582,0.036
Myastro,0,1996,9,,,,3.633333,3.85333,3.90083,,,0.409417,0.033
Myastro,0,1997,10,,,,4.316667,3.69,1.30483,,5.792,1.6045,0.034
Myastro,0,1998,11,,,,3.8,4.77,0.80617,,9.174,1.50675,0.032
Myastro,0,1999,12,,,,3.22,4.5,1.1256,,,1.508,0.039
Myastro,0,2000,13,,,,4.283333,2.14,1.15467,,14.139,1.508,0.03
Myastro,0,2001,14,,,,4.1,5.542,2.315,,6.348,1.634,0.034
Myastro,0,2002,15,,,,3.616667,4.07,1.25683,,4.337,1.783333,0.032
Myastro,0,2003,16,,,,4.05,3.435,2.0525,,4.874,1.3,0.029
Myastro,0,2004,17,,,,3.54,6.676,2.4484,,5.398,,0.029
Myastro,0,2005,18,,,,3.633333,6.47667,2.78233,,4.092,,0.035
Myastro,0,2006,19,,,,3.1,5.42,3.57433,,2.421,2.063333,0.036
Myastro,0,2007,20,,,,4.066667,3.33,1.98517,,2.191,1.355,0.029
Myastro,0,2008,21,,,,4.283333,2.675,2.27583,,1.831,1.48,0.043
Myastro,0,2009,22,,,,3.75,4.085,3.57867,,2.453,1.546667,0.048
Myastro,0,2010,23,,,,3.766667,6.87167,8.45083,,1.56,1.343333,0.055
Myastro,0,2011,24,,,,3.983333,4.84167,4.05767,,3.893,1.706667,0.032
Myastro,0,2012,25,,,,4.158333,5.445,5.05483,,3.057,1.83,0.027
Myastro,0,2013,26,,,,4.275,3.865,4.009,,3.215,1.8,0.023
Myastro,0,2014,27,,,,4.033333,2.98833,1.854,,3.862,1.791,0.027
Myastro,0,2015,28,,,,3.608333,6.07667,4.793,,4.528,1.641,0.032
Myastro,0,2016,29,,,,3.442,3.918,3.505,,3.097,0.851,0.033
Myastro,0,2017,30,,537,537,3.083,5.363,6.185,,,0.585,0.023
Myastro,0,2018,31,,,,2.817,6.32,4.055,,14.858,1.216,0.034
Myastro,0,2019,32,,,,4.3,2.333,2.39,,,,0.023
Batorino,0,Average for 1978-1983,0,,,,0.761,59.001,18.254,,1.203,4.104,0.09
Batorino,0,1984,1,,,,0.608,62.35,15.39617,,,7.080667,0.089
Batorino,0,1985,2,,,,0.833,51.322,,,2.78,7.872,0.105
Batorino,0,1986,3,,,,0.82,29.14,,,,,0.056
Batorino,0,1987,4,,,,0.825,33.356,,,,,0.076
Batorino,0,1988,5,,,,0.883333,25.335,,,,,0.063
Batorino,0,1989,6,,,,0.933333,24.19,,,,,0.063
Batorino,0,1990,7,,,,1.091667,17.35,,,,,0.047
Batorino,0,1991,8,,,,1.066667,10.99667,9.72267,,,2.65,0.048
Batorino,0,1992,9,,,,0.98,8.542,12.6034,,,2.751667,0.047
Batorino,0,1993,10,,79,79,1.183333,9.14833,12.82883,,,,0.04
Batorino,0,1994,11,,,,1.083333,13.24833,15.3345,,,0.2725,0.047
Batorino,0,1995,12,,100,100,0.866667,11.27833,14.84758,,,2.222,0.043
Batorino,0,1996,13,,89.5,89.5,1.066667,10.12,12.87883,,,0.63375,0.039
Batorino,0,1997,14,,,,1.425,6.56167,10.14317,,3.099,3.132083,0.042
Batorino,0,1998,15,,,,1.2,9.25667,8.8345,,2.968,2.13875,0.036
Batorino,0,1999,16,,,,0.9,7.194,7.6802,,,1.328,0.05
Batorino,0,2000,17,,,,1.15,4.68,3.23117,,1.861,1.328,0.036
Batorino,0,2001,18,,,,1.01,8.52,6.3806,,1.474,1.578,0.036
Batorino,0,2002,19,,,,0.85,14.79333,18.2455,,1.544,1.803333,0.038
Batorino,0,2003,20,,,,1.516667,8.53333,3.29117,,1.998,1.225,0.03
Batorino,0,2004,21,,,,0.96,9.558,14.1352,,0.846,,0.036
Batorino,0,2005,22,,,,1.116667,15.518,13.08083,,0.964,,0.031
Batorino,0,2006,23,,,,1.616667,8.2375,4.45767,,1.41,1.918,0.029
Batorino,0,2007,24,,,,1.4,10.72833,9.0975,,1.207,0.691667,0.032
Batorino,0,2008,25,,,,1.225,8.50667,6.40883,,1.764,1.696667,0.039
Batorino,0,2009,26,,,,1.466667,7.302,11.32478,,2.185,1.925,0.034
Batorino,0,2010,27,,,,1.591667,8.73167,10.45317,,1.027,1.38,0.029
Batorino,0,2011,28,,,,1.558333,7.69,,,0.979,3.18,0.029
Batorino,0,2012,29,,,,1.25,8.66833,8.08367,,0.979,1.836667,0.033
Batorino,0,2013,30,,,,1.458333,8.06667,7.1275,,0.953,2.306667,0.023
Batorino,0,2014,31,,,,1.3,7.24,4.24733,,1.539,4.104,0.032
Batorino,0,2015,32,,,,1.35,8.33167,6.0065,,1.563,4.897,0.036
Batorino,0,2016,33,,,,1.367,12.288,7.59033,,2.166,1.681,0.041
Batorino,0,2017,34,,,,1.533,8.33,9.09,,,3.124,0.028
Batorino,0,2018,35,,,,1.45,7.697,9.392,,2.215,3.449,0.033
Batorino,0,2019,36,,,,1.683,4.775,6.938,,1.375,,0.023
Oneida,0,Average 1975-1991,0,0,0,0,2.63,9.35,4.138,30,5925,2.259,0.038
Oneida,0,1991,1,0,0,0,2.39,11.66,6.41444681,,4514,1.878582391,0.02316026
Oneida,0,1992,2,0,971.8949487,971.89,2.81,7.11,4.033664703,,4302,3.153373717,0.02006391
Oneida,0,1993,3,0,777.7580619,777.76,3.87,5.12,2.234632273,,3787,1.572926445,0.015828654
Oneida,0,1994,4,0,1471.799406,1471.8,3.69,6.58,2.642060024,,5762,1.926350993,0.030369136
Oneida,0,1995,5,0,630.5564982,630.56,4.86,3.24,3.136272869,,10576,2.066801756,0.022896923
Oneida,0,1996,6,0,422.1020633,422.1,3.57,5.46,1.289171347,,3284,2.223487425,0.01993179
Oneida,0,1997,7,0,942.9537762,942.95,3.62,5.33,2.357937459,,6584,3.002933516,0.014721346
Oneida,0,1998,8,0,717.5937247,717.59,3,5.25,,,4304,1.678442726,0.02146
Oneida,0,1999,9,0,991.9033607,991.9,3.34,6,,,9476,2.060481907,0.015192014
Oneida,0,2000,10,0,552.7019096,552.7,2.92,6.46,1.103259238,43,9659,1.537282162,0.018090321
Oneida,0,2001,11,0,731.6145677,731.61,3.6,5.26,1.114477949,,8508,2.373105095,0.027762
Oneida,0,2002,12,0,1089.920133,1089.92,3.66,4.77,1.457098754,,7948,1.682382057,0.027163462
Oneida,0,2003,13,0,1015.823771,1015.82,3.75,6.5,1.156784283,,6437,2.085897602,0.027326154
Oneida,0,2004,14,0,391.211787,391.21,3.44,7.74,2.270822325,,8153,2.33234017,0.029040733
Oneida,1,2005,15,0,572.6583239,572.66,4.17,3.82,0.531247145,,7544,2.586799829,0.029437037
Oneida,2,2006,16,0,776.8742172,776.87,3.09,7.3,1.062713175,,6348,2.091425685,0.029210962
Oneida,3,2007,17,0,946.9698503,946.97,3.53,5.84,1.939852558,,8047,1.847495775,0.020873704
Oneida,4,2008,18,241.8937745,424.1876708,666.08,4.16,3.79,1.09937598,,6651,1.646524426,0.02463358
Oneida,5,2009,19,571.2462768,149.5916684,720.84,3.73,3.95,0.949289941,,5190,1.165497091,0.024388462
Oneida,6,2010,20,926.8358303,12.84456253,939.68,4.44,2.56,0.854782914,,7216,1.385231349,0.028538462
Oneida,7,2011,21,945.358214,11.93954647,957.3,3.2,4.94,1.424360295,39,8616,0.969223245,0.030490705
Oneida,8,2012,22,1686.419005,7.393328221,1693.81,4.74,2.89,0.863152799,,6788,1.821936446,0.031503846
Oneida,9,2013,23,1136.873166,24.89514545,1161.77,3.24,3.89,0.811008406,,2479,2.091781738,0.030849038
Oneida,10,2014,24,1232.855053,11.65349794,1244.51,3.33,4.15,2.157665707,,4208,1.755118646,0.028016346
Oneida,11,2015,25,1088.153006,8.233469368,1096.39,3.48,3.32,1.252922684,,4947,2.135535125,0.022820513
Oneida,12,2016,26,1053.298558,7.227678181,1060.53,4.26,3.72,1.107731608,50,,1.668719642,0.024516346
Oneida,13,2017,27,1254.026822,14.12353727,1268.15,3.09,5.8,1.548098993,,,1.810330277,0.025066568
Veluwe,0,Average for 1985-1994,0,,,0.006,0.376,53,,8.3,,,0.103
Veluwe,0,1995,1,,,0.116,0.44,40,,19,,,0.14
Veluwe,0,1996,2,,,,0.7,15,,19.5,,,0.06
Veluwe,0,1997,3,,,0.101,0.84,10,,37,,,0.04
Veluwe,0,1998,4,,,,1.19,7,,47,,,0.07
Veluwe,0,1999,5,,,0.282,0.88,10,,47.5,,,0.06
Veluwe,0,2000,6,,,,0.97,7,,48,,,0.05
Veluwe,0,2001,7,,,0.233,0.83,15,,53,,,0.03
Veluwe,0,2002,8,,,,0.48,25,,,,,0.08
Veluwe,0,2003,9,,,0.131,0.55,15,,32,,,0.06
Veluwe,0,2004,10,,,,0.5,10,,,,,0.08
Veluwe,0,2005,11,,,,1.1,10,,,,,0.06
Veluwe,0,2006,12,,,,0.82,8,,46,,,0.05
Veluwe,0,2007,13,,,0.495,1.06,10,,,,,0.06
Veluwe,0,2008,14,,,,0.9,10,,,,,0.08
Veluwe,1,2009,15,,,,0.7,18,,40,,,0.11
Veluwe,2,2010,16,,,,0.62,10,,,,,0.09
Veluwe,3,2011,17,,,,0.55,12,,,,,0.002
Veluwe,4,2012,18,,,0.765,0.8,5,,,,,0.004
Veluwe,5,2013,19,,,,1.02,7,,56,,,0.004
Veluwe,6,2014,20,,,,,,,,,,
Eem,0,Average for 1985-1994,0,,,,0.247,153,,0.1,,,0.768
Eem,0,1995,1,,,,0.21,135,,,,,0.52
Eem,0,1996,2,,,,0.3,95,,,,,0.36
Eem,0,1997,3,,,0.02,0.29,85,,,,,0.36
Eem,0,1998,4,,,,0.3,105,,,,,0.34
Eem,0,1999,5,,,0.329,0.32,50,,,,,0.29
Eem,0,2000,6,,,,0.5,60,,0.5,,,0.2
Eem,0,2001,7,,,0.6,0.4,55,,,,,0.18
Eem,0,2002,8,,,,0.41,70,,,,,0.27
Eem,0,2003,9,,,0.88,0.46,50,,2,,,0.25
Eem,0,2004,10,,,,0.6,20,,,,,0.2
Eem,0,2005,11,,,0.847,0.63,25,,,,,0.15
Eem,0,2006,12,,,,0.64,35,,6,,,0.19
Eem,0,2007,13,,,0.626,0.7,30,,,,,0.22
Eem,0,2008,14,,,,0.6,65,,,,,0.18
Eem,1,2009,15,,,,0.44,35,,8,,,0.2
Eem,2,2010,16,,,3.58,0.8,10,,,,,0.27
Eem,3,2011,17,,,,0.83,15,,,,,0.12
Eem,4,2012,18,,,5,1,5,,,,,0.11
Eem,5,2013,19,,,,1.23,17,,16,,,0.15
Eem,6,2014,20,,,,1,20,,,,,0.18
BalatonE,0,Average for 2001-2005,72,0,293.3173362,293.3173362,0.5807,6.96,,,,,
BalatonE,1,2008,76,0,741.7046738,741.7046738,0.7,6.1,,,,,
BalatonE,2,2009,77,171.1750461,778.0590121,949.2340582,0.69375,6.03,,,,,
BalatonE,3,2010,78,976.3613968,149.8278178,1126.189215,0.647777778,9.5,,,,,
BalatonE,4,2011,79,1387.22415,161.2130753,1548.437225,0.657083333,5.86,,,,,
BalatonE,5,2012,80,1487.150981,198.5431583,1685.69414,0.51,5.49,,,,,
BalatonE,6,2013,81,,,,0.600416667,5.51,,,,,
BalatonE,7,2014,82,,,,1.09125,3.2,,,,,
BalatonE,8,2015,83,,,,0.9805,3.09,,,,,
BalatonE,9,2016,84,1775.690226,6.211752312,1781.901978,0.709545455,4.33,,,,,
BalatonE,10,2017,85,1303.164043,41.42135547,1344.585398,1.020833333,3.42,,,,,
BalatonE,11,2018,86,,,,0.955,3.05,,,,,
BalatonE,12,2019,87,,,,0,,,,,,
BalatonE,13,2020,88,,,,1.1,3.76,,,,,
BalatonE,14,2021,89,,,,1,2.66,,,,,
BalatonW,0,Average for 2001-2005,72,0,387.2880311,387.2880311,0.3457,16.01,,,,,
BalatonW,1,2008,76,0,1212.831644,1212.831644,0.409583333,15.72,,,,,
BalatonW,2,2009,77,30.54508125,481.7360423,512.2811236,0.449916667,15.29,,,,,
BalatonW,3,2010,78,688.6985274,832.6793368,1521.377864,0.457569444,21.09,,,,,
BalatonW,4,2011,79,1291.964947,1222.601073,2514.56602,0.370416667,21.03,,,,,
BalatonW,5,2012,80,485.0484966,603.0282457,1088.076742,0.3,12.58,,,,,
BalatonW,6,2013,81,,,,0.400416667,13.4,,,,,
BalatonW,7,2014,82,,,,0.650625,7.78,,,,,
BalatonW,8,2015,83,,,,0.459,13.01,,,,,
BalatonW,9,2016,84,85.75535227,498.4448793,584.2002316,0.425,13.86,,,,,
BalatonW,10,2017,85,315.0376406,506.5924059,821.6300464,0.415,15.39,,,,,
BalatonW,11,2018,86,,,,0.455833333,11.6,,,,,
BalatonW,12,2019,87,,,,0,,,,,,
BalatonW,13,2020,88,,,,0.35,10.3,,,,,
BalatonW,14,2021,89,,,,0.4,13.45,,,,,
